COUNTRY;COUNTRY CODE;STATE;STATE CODE;COUNTY;COUNTY CODE;LOCALITY ID;LOCALITY TYPE;LATITUDE;LONGITUDE
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7186347 ;P;30.6;-8.4
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7186354 ;P;29;-10.2
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7186370 ;P;28.8;-10.4
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7186374 ;P;28.3;-11.6
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7186378 ;P;28.3;-11.6
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7188477 ;P;28.7;-10.6
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7188488 ;P;28.8;-10.4
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7188490 ;P;28.9;-10.2
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7188493 ;P;28.9;-10
Morocco;MA;Guelmim-Es Smara        ;MA-14;;;L7188494 ;P;28.9;-10
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188495 ;P;29.4;-10.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188496 ;P;29.5;-10.1
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188497 ;P;29.6;-10
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188498 ;P;29.8;-9.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188501 ;P;30.1;-9.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188503 ;P;30.1;-9.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188516 ;P;30;-9.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188518 ;P;30;-9.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188519 ;P;30.1;-9.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7188522 ;P;30;-9.6
Morocco;MA;Grand Casablanca        ;MA-08;;;L7188523 ;P;33.5;-7.8
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7188542 ;P;35.2;-3.9
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7188546 ;P;35.5;-5.1
Morocco;MA;Grand Casablanca        ;MA-08;;;L7188551 ;P;33.6;-7.7
Morocco;MA;Gharb-Chrarda-Beni Hssen;MA-02;;;L7188862 ;P;34.8;-6.3
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7190548 ;P;31.4;-7.8
Morocco;MA;Doukkala-Abda           ;MA-10;;;L7191778 ;P;33;-8.7
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7191822 ;P;33.7;-6.9
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7192339 ;P;31.7;-5
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7192347 ;P;31.2;-7.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7192356 ;P;31.3;-7.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7192363 ;P;30.9;-6.9
